stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
6504,2408011-00103,"Łaziska Górne Ratusz",50.1493978300,18.8394207600,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2408011-00103/"
1947,2465011-08702,"Okradzionów Białej Przemszy",50.3421738800,19.3759346000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2465011-08702/"
7370,2474011-07202,"Siemianowice Fabryczna Zakłady nż",50.2958272500,19.0358352400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2474011-07202/"
143,2463011-01202,"Chorzów Batory Klonowa",50.2632356900,18.9364433000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2463011-01202/"
6090,2475011-20603,"Bobrek Innowacyjna",50.2613930100,19.1936850800,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2475011-20603/"
8194,2478011-15802,"Mikulczyce KSSE Goduli",50.3513684300,18.8010239300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2478011-15802/"
2535,2413031-01201,"Rojca Nieznanego Żołnierza",50.3870426300,18.8990914800,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2413031-01201/"
1802,2469011-17002,"Murcki Tartaczna nż",50.1941202000,19.0334856300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-17002/"
1607,2471011-03901,"Piekary Lipka",50.3994258000,18.9470970400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2471011-03901/"
3296,2472011-10602,"Wirek Mrówcza Górka",50.2585307900,18.8700163300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2472011-10602/"
10479,2463011-05531,"Chorzów Sobieskiego",50.2945551500,18.9515459800,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2463011-05531/"
7887,2413082-01402,"Boruszowice Cmentarz",50.5166463100,18.7736940700,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2413082-01402/"
1180,2414031-03101,"Hołdunów Targowisko",50.1420180100,19.1337641900,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2414031-03101/"
1123,2472011-03201,"Halemba Energetyków",50.2423674700,18.8301956400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2472011-03201/"
2252,2401021-02902,"Piaski Skrzyżowanie",50.3023406800,19.0977084400,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2401021-02902/"
6204,2477011-04402,"Suble Zagrodowa",50.1168910000,18.9642090000,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2477011-04402/"
11164,2405032-03201,"Chudów Jaśminowa nż",50.2171284400,18.7750860300,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2405032-03201/"
7169,2469011-01202A,"Katowice Sądowa",50.2586306600,19.0110087100,"https://rj.transportgzm.pl/v2/rozklady/przystanek/2469011-01202A/"
